Organism_Code	Organism_Name
sgh	Sinocyclocheilus grahami (golden-line barbel)
ccar	Cyprinus carpio (common carp)
caua	Carassius auratus (goldfish)
cgib	Carassius gibelio (silver crucian carp)
ptet	Puntigrus tetrazona (Sumatra barb)
lroh	Labeo rohita (rohu)
omc	Onychostoma macrolepis
pprm	Pimephales promelas (fathead minnow)
rkg	Rhinichthys klamathensis goyatoka (western speckled dace)
mamb	Megalobrama amblycephala (Wuchang bream)
cide	Ctenopharyngodon idella (grass carp)
cery	Chanodichthys erythropterus (predatory carp)
masi	Myxocyprinus asiaticus (Chinese sucker)
tros	Triplophysa rosa
tdw	Triplophysa dalaica
manu	Misgurnus anguillicaudatus (oriental weatherfish)
pdab	Paramisgurnus dabryanus (large-scale loach)
ipu	Ictalurus punctatus (channel catfish)
ifu	Ictalurus furcatus (blue catfish)
phyp	Pangasianodon hypophthalmus (striped catfish)
smeo	Silurus meridionalis (southern catfish)
tfd	Tachysurus fulvidraco (yellow catfish)
tvc	Tachysurus vachellii
cgar	Clarias gariepinus (North African catfish)
ngra	Neoarius graeffei (lesser salmon catfish)
trn	Trichomycterus rosablanca
amex	Astyanax mexicanus (Mexican tetra)
cmao	Colossoma macropomum (tambaqui)
eee	Electrophorus electricus (electric eel)
char	Clupea harengus (Atlantic herring)
spil	Sardina pilchardus (sardine)
tru	Takifugu rubripes (torafugu)
tfs	Takifugu flavidus (sansaifugu)
tng	Tetraodon nigroviridis (spotted green pufferfish)
lco	Larimichthys crocea (large yellow croaker)
ncc	Notothenia coriiceps (black rockcod)
tben	Trematomus bernacchii (emerald rockcod)
cgob	Cottoperca gobio
pgeo	Pseudochaenichthys georgianus (South Georgia icefish)
gacu	Gymnodraco acuticeps
emac	Eleginops maclovinus (Patagonian blennie)
ely	Epinephelus lanceolatus (giant grouper)
efo	Epinephelus fuscoguttatus (brown-marbled grouper)
plep	Plectropomus leopardus (leopard coralgrouper)
sluc	Sander lucioperca (pikeperch)
ecra	Etheostoma cragini (Arkansas darter)
esp	Etheostoma spectabile (orangethroat darter)
pflv	Perca flavescens (yellow perch)
gat	Gasterosteus aculeatus (three-spined stickleback)
ppug	Pungitius pungitius (ninespine stickleback)
afb	Anoplopoma fimbria (sablefish)
clum	Cyclopterus lumpus (lumpfish)
pswi	Pseudoliparis swirei (Mariana hadal snailfish)
cana	Clinocottus analis (woolly sculpin)
cve	Cebidichthys violaceus (monkeyface prickleback)
msam	Micropterus salmoides (largemouth bass)
schu	Siniperca chuatsi (mandarin fish)
cud	Cheilinus undulatus (humphead wrasse)
spul	Semicossyphus pulcher (California sheephead)
lmix	Labrus mixtus (cuckoo wrasse)
alat	Acanthopagrus latus (yellowfin seabream)
astr	Antennarius striatus (striated frogfish)
mze	Maylandia zebra (zebra mbuna)
onl	Oreochromis niloticus (Nile tilapia)
oau	Oreochromis aureus (blue tilapia)
