Uniprot_ID	KEGG_rno
A0A8I6ANA0	NA
A0A8I6ANG4	NA
A0A8I6ANJ2	NA
A0A8I6ANK4	NA
A0A8I6ANR6	NA
A0A8I6AP40	NA
A0A8I6AP89	NA
A0A8I6AP99	NA
A0A8I6APA0	NA
A0A8I6APB3	NA
A0A8I6APF4	NA
A0A8I6APP5	NA
A0A8I6APT3	NA
A0A8I6AQ55	NA
A0A8I6AQ99	NA
A0A8I6AQJ2	NA
A0A8I6AQV7	NA
A0A8I6AR42	NA
A0A8I6ARC1	NA
A0A8I6ARF4	NA
A0A8I6ARM6	NA
A0A8I6ART3	NA
A0A8I6ARU4	NA
A0A8I6AS58	NA
A0A8I6ASC3	NA
A0A8I6ASH2	NA
A0A8I6ASL8	NA
A0A8I6ASR7	NA
A0A8I6AST2	NA
A0A8I6AT75	NA
A0A8I6AT99	NA
A0A8I6ATC2	NA
A0A8I6ATF7	NA
A0A8I6ATH0	NA
A0A8I6ATM1	rno:54286
A0A8I6ATT1	NA
A0A8I6AUV5	NA
A0A8I6AV80	NA
A0A8I6AV91	NA
A0A8I6AVC9	NA
A0A8I6AVL3	NA
A0A8I6AVL7	NA
A0A8I6AVR3	NA
A0A8I6AVT5	NA
A0A8I6AW60	NA
A0A8I6AWJ2	NA
A0A8I6AWR3	NA
A0A8I6AXR8	NA
A0A8I6AYW8	NA
A0A8I6B0P9	NA
A0A8I6B1X1	NA
A0A8I6B336	NA
A0A8I6B3H1	NA
A0A8I6B4D6	NA
A0A8I6B5D5	NA
A0A8I6G1H3	rno:300177
A0A8I6G1W3	NA
A0A8I6G2K8	NA
A0A8I6G3R2	NA
A0A8I6G409	NA
A0A8I6G415	NA
A0A8I6G4G9	NA
A0A8I6G4R8	NA
A0A8I6G4X0	NA
A0A8I6G4Y3	NA
A0A8I6G502	NA
A0A8I6G510	NA
A0A8I6G530	NA
A0A8I6G5M3	NA
A0A8I6G5Q1	rno:306790
A0A8I6G5V3	NA
A0A8I6G641	NA
A0A8I6G699	NA
A0A8I6G705	rno:498642
A0A8I6G721	NA
A0A8I6G788	NA
A0A8I6G7L6	NA
A0A8I6G7N1	NA
A0A8I6G7Y9	NA
A0A8I6G820	NA
A0A8I6G861	NA
A0A8I6G914	NA
A0A8I6G981	NA
A0A8I6G9R9	NA
A0A8I6G9S4	NA
A0A8I6G9S8	NA
A0A8I6G9X7	NA
A0A8I6GA01	NA
A0A8I6GA10	NA
A0A8I6GA69	NA
A0A8I6GA79	NA
A0A8I6GA90	NA
A0A8I6GAA5	NA
A0A8I6GAG1	NA
A0A8I6GAS7	NA
A0A8I6GAT6	NA
A0A8I6GB30	NA
A0A8I6GC26	NA
A0A8I6GC77	NA
A0A8I6GCI2	NA
A0A8I6GCP7	NA
A0A8I6GCQ1	NA
A0A8I6GCT2	NA
A0A8I6GCY6	NA
A0A8I6GDX4	NA
A0A8I6GE08	NA
A0A8I6GE94	NA
A0A8I6GEM4	NA
A0A8I6GES1	NA
A0A8I6GEZ7	NA
A0A8I6GFB1	NA
A0A8I6GFL9	NA
A0A8I6GFN0	NA
A0A8I6GFW6	NA
A0A8I6GFX7	NA
A0A8I6GH02	NA
A0A8I6GH61	NA
A0A8I6GH80	NA
A0A8I6GHM0	NA
A0A8I6GHR4	NA
A0A8I6GHT4	NA
A0A8I6GHX5	NA
A0A8I6GI01	NA
A0A8I6GI43	NA
A0A8I6GID8	NA
A0A8I6GIT3	NA
A0A8I6GJ67	NA
A0A8I6GJ79	NA
A0A8I6GJE3	NA
A0A8I6GJI6	NA
A0A8I6GJJ3	NA
A0A8I6GJM5	NA
A0A8I6GJM6	NA
A0A8I6GJZ1	NA
A0A8I6GK45	NA
A0A8I6GK47	NA
A0A8I6GK94	NA
A0A8I6GKH3	NA
A0A8I6GKJ4	rno:364706
A0A8I6GKM3	NA
A0A8I6GKR5	NA
A0A8I6GKS9	NA
A0A8I6GKV2	NA
A0A8I6GL04	NA
A0A8I6GL08	NA
A0A8I6GL29	NA
A0A8I6GL36	NA
A0A8I6GL61	NA
A0A8I6GL89	NA
A0A8I6GLB8	NA
A0A8I6GLD8	NA
A0A8I6GLI8	NA
A0A8I6GLL6	NA
A0A8I6GLM3	NA
A0A8I6GLP7	NA
A0A8I6GLR0	NA
A0A8I6GLU0	NA
A0A8I6GLU8	NA
A0A8I6GLV2	NA
A0A8I6GLZ1	NA
A0A8I6GM03	NA
A0A8I6GM68	NA
A0A8I6GM88	NA
A0A8I6GM91	NA
A0A8I6GMA3	NA
A0A8I6GME6	NA
A0A8I6GMN6	NA
A0A8I6GMQ6	NA
A0A8I6GMR8	NA
A0A8J8XCW9	NA
A0A8J8XG14	NA
A0A8J8XL70	NA
A0A8J8XMF6	NA
A0A8J8XQI9	NA
A0A8J8XTJ6	NA
A0A8J8XU90	NA
A0A8J8XWH8	NA
A0A8J8XYU9	NA
A0A8J8YB21	NA
A0A8J8YBA4	NA
A0A8J8YBT6	NA
A0A8J8YC15	NA
A0A8J8YGL2	NA
A0A8J8YH81	NA
A0A8J8YK50	NA
A0A8J8YRH0	NA
A0A8L2PYZ4	NA
A0A8L2Q0J0	NA
A0A8L2Q100	NA
