Uniprot_ID	KEGG_Gene_ID
D3Z5S8	mmu:212943
D3Z649	mmu:240776
D3Z6P0	mmu:69191
D3Z6Q4	NA
D3Z752	NA
D3Z7H4	mmu:269994
D3Z7P3	mmu:14660
D6MZJ6	mmu:100503915
D6RFA9	NA
D6RFN1	NA
D6RHQ2	NA
D7PDD4	mmu:106722
E0CXC2	NA
E0CYR6	mmu:100043497
E0CZ16	NA
E1AZ71	mmu:333329
E1U8D0	mmu:320706
E2JF22	NA
E9PUL5	mmu:69017
E9PUN2	NA
E9PUN6	NA
E9PUQ8	mmu:227333
E9PV24	mmu:14161
E9PV87	mmu:76967
E9PVA8	mmu:231659
E9PVB6	NA
E9PVD3	mmu:233651
E9PVU6	NA
E9PVX6	mmu:17345
E9PVY0	NA
E9PWL1	mmu:12291
E9PX29	NA
E9PX67	NA
E9PX95	mmu:381072
E9PXF8	mmu:319934
E9PXU2	NA
E9PXV8	NA
E9PY46	mmu:106633
E9PY61	mmu:217143
E9PYH6	mmu:233904
E9PYI1	mmu:243905
E9PYK3	mmu:328417
E9PYV8	mmu:101401
E9PYW4	mmu:70238
E9PYY5	mmu:242584
E9PZ19	NA
E9PZ36	mmu:241035
E9PZ97	NA
E9PZC2	mmu:80297
E9PZI6	mmu:23924
E9PZJ8	mmu:77987
E9PZM4	mmu:244059
E9PZQ0	mmu:20190
E9PZZ1	mmu:230025
E9Q0N2	mmu:545902
E9Q0S6	mmu:21961
E9Q236	mmu:239273
E9Q238	mmu:107351
E9Q2M9	NA
E9Q2T3	NA
E9Q2Z1	mmu:330409
E9Q394	mmu:75547
E9Q3E1	mmu:621603
E9Q3L2	mmu:224020
E9Q3M5	NA
E9Q3P4	mmu:108000
E9Q3S4	mmu:22625
E9Q3T6	mmu:383491
E9Q401	mmu:20191
E9Q414	mmu:238055
E9Q418	NA
E9Q4F7	mmu:77087
E9Q4M2	NA
E9Q4N7	NA
E9Q4S1	NA
E9Q4Z2	mmu:100705
E9Q555	NA
E9Q557	mmu:109620
E9Q5C9	mmu:70769
E9Q5F9	mmu:235626
E9Q5G3	mmu:71819
E9Q5G7	mmu:193322
E9Q5K4	mmu:226143
E9Q5K9	mmu:231386
E9Q5M6	mmu:212517
E9Q5R7	mmu:378425
E9Q612	mmu:19277
E9Q634	mmu:71602
E9Q696	NA
E9Q6B2	mmu:668158
E9Q708	NA
E9Q784	mmu:67302
E9Q7D5	mmu:54324
E9Q7E2	mmu:77044
E9Q7E8	NA
E9Q7F2	mmu:108937
E9Q7G0	mmu:101706
E9Q7N9	mmu:13411
E9Q7P8	NA
E9Q7R9	mmu:100048534
E9Q7T0	NA
E9Q7X6	NA
E9Q7X7	NA
E9Q876	mmu:74591
E9Q8I9	mmu:320365
E9Q8Q6	mmu:545428
E9Q8Q8	mmu:75202
E9Q8T2	mmu:114604
E9Q8T7	mmu:110084
E9Q912	mmu:229877
E9Q9A6	mmu:213208
E9Q9A9	mmu:246728
E9Q9D5	mmu:68708
E9Q9F6	mmu:106757
E9Q9F7	mmu:75172
E9Q9H8	mmu:277203
E9Q9K5	mmu:76757
E9Q9M1	NA
E9Q9M8	mmu:101631
E9Q9R9	mmu:71228
E9Q9U0	mmu:381944
E9Q9W4	mmu:225579
E9Q9W7	mmu:100503041
E9QA28	mmu:330483
E9QA62	mmu:320502
E9QAG8	mmu:69504
E9QAM5	mmu:229003
E9QAQ5	NA
E9QAS8	NA
E9QAT4	mmu:227648
E9QAU8	mmu:225743
E9QK53	mmu:14183
E9QL53	mmu:12704
E9QMP6	mmu:13728
E9QN12	NA
E9QNE9	NA
E9QNF7	mmu:66797
E9QNJ9	NA
E9QNN1	NA
E9QNX9	mmu:16001
F2YMG0	mmu:69453
F2Z4A3	mmu:14107
F6Q8A4	NA
F6QCP8	NA
F6SBR5	NA
F6SEU4	mmu:240057
F6TK14	NA
F6TQD1	NA
F6VAN0	mmu:226641
F6VJC5	NA
F6XRE6	NA
F6YIN5	NA
F6ZDS4	mmu:108989
F6ZFB8	NA
F7B9M9	NA
F7BJB9	mmu:338467
F7BWT7	mmu:70423
F7C376	NA
F8VPJ6	mmu:319758
F8VPK5	mmu:19878
F8VPN2	mmu:104271
F8VPN4	mmu:77559
F8VPQ2	mmu:238247
F8VPR5	mmu:12914
F8VPT7	mmu:235344
F8VPU2	mmu:223254
F8VPZ5	mmu:319955
F8VQ03	mmu:11497
F8VQ29	mmu:404710
F8VQ54	NA
F8VQB6	mmu:17909
F8VQL0	NA
F8VQN3	mmu:436440
G3UW82	mmu:17882
G3UWT3	NA
G3UXB3	mmu:672284
G3UYC5	NA
G3UYQ4	NA
G3UYX7	NA
G3UZ46	NA
G3UZ78	NA
G3UZY9	NA
G3X8Y1	mmu:381485
G3X8Y8	mmu:24088
G3X912	mmu:244666
G3X939	mmu:105243
G3X943	mmu:214922
G3X982	mmu:71724
G3X9H5	mmu:15194
G3X9J0	mmu:74206
G3X9K3	mmu:211673
G3X9X1	mmu:210973
G3XA57	mmu:74998
G3XA59	mmu:434215
G5E829	mmu:67972
G5E845	mmu:74571
G5E870	mmu:14897
G5E884	NA
G5E8A8	mmu:70426
G5E8I7	mmu:13532
G5E8K5	mmu:11735
G5E8P1	mmu:223770
G5E8Q8	mmu:224792
G5E8Z2	mmu:72504
H3BLD7	NA
H7BWY3	NA
H7BX38	NA
H7BX60	NA
I7HJS4	NA
J3KML8	mmu:100039953
J3QMI4	NA
J3QMK6	mmu:73458
J3QMY9	NA
J3QN31	NA
J3QPC3	mmu:414069
J3S6Y1	mmu:252974
J9SQF3	mmu:226025
L0N7N1	mmu:381293
L7N1X6	mmu:382105
M0QWB7	mmu:226439
O08523	mmu:21683
O08528	mmu:15277
O08529	mmu:12334
O08530	mmu:13609
O08532	mmu:12293
O08537	mmu:13983
O08538	mmu:11600
O08539	mmu:30948
O08543	mmu:13640
O08545	mmu:13638
O08547	mmu:20333
O08550	mmu:75410
O08553	mmu:12934
O08573	mmu:16859
O08574	mmu:17293
O08575	mmu:14049
O08579	mmu:13726
O08580	mmu:26379
O08581	mmu:16525
O08583	mmu:21681
O08586	mmu:19211
O08599	mmu:20910
O08600	mmu:13804
O08601	mmu:17777
O08602	mmu:19368
O08603	mmu:19369
O08604	mmu:19370
O08605	mmu:17346
O08608	mmu:18247
O08609	mmu:21428
O08638	NA
O08644	mmu:13848
O08648	mmu:26407
O08650	mmu:15118
O08665	mmu:20346
O08674	mmu:19668
O08675	mmu:14064
O08677	mmu:16644
O08686	mmu:12023
O08689	mmu:17700
O08691	mmu:11847
O08692	mmu:18054
O08696	NA
O08705	mmu:20493
O08707	mmu:59289
O08709	mmu:11758
O08710	mmu:21819
O08712	mmu:18383
O08715	mmu:11640
O08734	mmu:12018
O08736	mmu:12364
O08738	mmu:12368
O08739	mmu:11717
O08746	NA
O08747	mmu:22253
O08749	mmu:13382
O08750	mmu:18030
O08755	mmu:15379
O08756	NA
O08759	mmu:22215
O08760	mmu:18294
O08762	mmu:19142
O08785	mmu:12753
O08788	mmu:13191
O08789	mmu:17428
O08790	mmu:14294
O08791	mmu:13593
O08792	mmu:13592
O08795	mmu:19089
O08796	mmu:13631
O08807	mmu:53381
O08808	mmu:13367
O08811	mmu:13871
